Accession,Geo_Location
NC_045512,China
MT539158,Bangladesh
MT539159,Bangladesh
MT539160,Bangladesh
MT539161,USA: Georgia
MT539162,USA: Georgia
MT539163,USA: Georgia
MT539164,India: Vadodara
MT539165,India: Vadodara
MT539166,India: Vadodara
MT539167,India: Vadodara
MT539168,India: Vadodara
MT539169,India: Vadodara
MT539170,India: Rajkot
MT539171,India: Vadodara
MT539172,India: Vadodara
MT539173,India: Vadodara
MT539174,India: Rajkot
MT539175,India: Vadodara
MT539176,India: Vadodara
MT407649,China: Zhejiang
MT407650,China: Zhejiang
MT407651,China: Zhejiang
MT407652,China: Zhejiang
MT407653,China: Zhejiang
MT407654,China: Zhejiang
MT407655,China: Zhejiang
MT407656,China: Zhejiang
MT407657,China: Zhejiang
MT407658,China: Zhejiang
MT407659,China: Zhejiang
MT534285,Czech Republic
MT534303,USA: CA
MT534304,USA: CA
MT534305,USA: CA
MT534306,USA: CA
MT534307,USA: CA
MT534308,USA: CA
MT534309,USA: CA
MT534310,USA: CA
MT534311,USA: CA
MT534312,USA: CA
MT534313,USA: CA
MT534314,USA: CA
MT534315,USA: CA
MT534316,USA: CA
MT534317,USA: CA
MT534318,USA: CA
MT534319,USA: CA
MT534320,USA: CA
MT534321,USA: CA
MT534322,USA: CA
MT534323,USA: CA
MT534324,USA: CA
MT534325,USA: CA
MT534326,USA: CA
MT534327,USA: CA
MT534328,USA: CA
MT534329,USA: CA
MT534330,USA: CA
MT534331,USA: CA
MT534332,USA: CA
MT534333,USA: CA
MT534334,USA: CA
MT534335,USA: CA
MT534336,USA: CA
MT534337,USA: CA
MT534338,USA: CA
MT534339,USA: CA
MT534630,China: Jiangsu
MT535472,USA
MT535473,USA
MT535474,USA
MT535475,USA
MT535476,USA
MT535477,USA
MT535478,USA
MT535479,USA
MT535480,USA
MT535481,USA
MT535482,USA
MT535483,USA
MT535484,USA
MT535485,USA
MT535486,USA
MT535487,USA
MT535488,USA
MT535489,USA
MT535490,USA
MT535491,USA
MT535492,USA
MT535493,USA
MT535494,USA
MT535495,USA
MT535496,USA
MT535497,USA
MT535498,USA
MT535499,USA
MT535500,USA
MT535501,USA
MT535502,USA
MT535503,USA
MT535504,USA
MT535505,USA
MT535506,USA
MT535507,USA
MT535508,USA
MT535509,USA
MT536176,USA: NAPOLEONVILLE
MT536177,USA: New Orleans
MT536178,USA: LACOMBE
MT536179,USA: MARRERO
MT536180,USA: New Orleans
MT536181,USA: METAIRIE
MT536182,USA: CHALMETTE
MT536183,USA: VIOLET
MT536184,USA: SLIDELL
MT536185,USA: New Orleans
MT536186,USA: New Orleans
MT536187,USA: HAMMOND
MT536188,USA: KENNER
MT536189,USA: AVONDALE
MT536190,USA: METAIRIE
MT536954,USA
MT536955,USA
MT536956,USA
MT536957,USA
MT536958,USA
MT536959,USA
MT536960,USA
MT536961,USA
MT536962,USA
MT536963,USA
MT536964,USA
MT536965,USA
MT536966,USA
MT536967,USA
MT536968,USA
MT536969,USA
MT536970,USA
MT536971,USA
MT536972,USA
MT536973,USA
MT536974,USA
MT536975,USA
MT536976,USA
MT536977,USA
MT525950,Italy: Lazio
MT527178,Italy: Lazio
MT527184,Italy: Lazio
MT528235,Italy: Lazio
MT528237,Italy: Lazio
MT528238,Italy: Lazio
MT528239,Italy: Lazio
MT528598,USA
MT528599,USA
MT528600,USA
MT528601,USA
MT528602,USA
MT528603,USA
MT528604,USA
MT528605,USA
MT528606,USA
MT528607,USA
MT528608,USA
MT528609,USA
MT528610,USA
MT528611,USA
MT528612,USA
MT528613,USA
MT528614,USA
MT528615,USA
MT528616,USA
MT528617,USA
MT528618,USA
MT528619,USA
MT528620,USA
MT528621,USA
MT528622,USA
MT528623,USA
MT528624,USA
MT528625,USA
MT528626,USA
MT528627,USA
MT528628,USA
MT528629,USA
MT528630,USA
MT528631,USA
MT531537,Italy
MT532435,USA
MT532436,USA
MT532437,USA
MT532438,USA
MT532557,USA
MT533197,USA
MT533198,USA
MT533199,USA
MT533200,USA
MT533201,USA
MT533202,USA
MT533203,USA
MT533204,USA: CA
MT533205,USA: CA
MT533206,USA: CA
MT533207,USA: CA
MT533208,USA: CA
MT533209,USA: CA
MT533210,USA: CA
