Accession,Species,Geo_Location,Collection_Date
NC_045512,Severe acute respiratory syndrome-related coronavirus,China,2019-12
MT539158,Severe acute respiratory syndrome-related coronavirus,Bangladesh,2020-05-21
MT539159,Severe acute respiratory syndrome-related coronavirus,Bangladesh,2020-05-21
MT539160,Severe acute respiratory syndrome-related coronavirus,Bangladesh,2020-05-21
MT539161,Severe acute respiratory syndrome-related coronavirus,USA: Georgia,2020-03-04
MT539162,Severe acute respiratory syndrome-related coronavirus,USA: Georgia,2020-03-13
MT539163,Severe acute respiratory syndrome-related coronavirus,USA: Georgia,2020-03-10
MT539164,Severe acute respiratory syndrome-related coronavirus,India: Vadodara,2020-05-02
MT539165,Severe acute respiratory syndrome-related coronavirus,India: Vadodara,2020-05-02
MT539166,Severe acute respiratory syndrome-related coronavirus,India: Vadodara,2020-05-02
MT539167,Severe acute respiratory syndrome-related coronavirus,India: Vadodara,2020-05-02
MT539168,Severe acute respiratory syndrome-related coronavirus,India: Vadodara,2020-05-02
MT539169,Severe acute respiratory syndrome-related coronavirus,India: Vadodara,2020-05-02
MT539170,Severe acute respiratory syndrome-related coronavirus,India: Rajkot,2020-04-28
MT539171,Severe acute respiratory syndrome-related coronavirus,India: Vadodara,2020-05-02
MT539172,Severe acute respiratory syndrome-related coronavirus,India: Vadodara,2020-05-02
MT539173,Severe acute respiratory syndrome-related coronavirus,India: Vadodara,2020-05-02
MT539174,Severe acute respiratory syndrome-related coronavirus,India: Rajkot,2020-04-27
MT539175,Severe acute respiratory syndrome-related coronavirus,India: Vadodara,2020-05-02
MT539176,Severe acute respiratory syndrome-related coronavirus,India: Vadodara,2020-05-02
MT407649,Severe acute respiratory syndrome-related coronavirus,China: Zhejiang,2020-01-22
MT407650,Severe acute respiratory syndrome-related coronavirus,China: Zhejiang,2020-01-22
MT407651,Severe acute respiratory syndrome-related coronavirus,China: Zhejiang,2020-01-22
MT407652,Severe acute respiratory syndrome-related coronavirus,China: Zhejiang,2020-01-26
MT407653,Severe acute respiratory syndrome-related coronavirus,China: Zhejiang,2020-01-26
MT407654,Severe acute respiratory syndrome-related coronavirus,China: Zhejiang,2020-03-24
